CANONICAL_SMILES,MOLREGNO
Cc1ccccc1c2cc(C(=O)n3cccn3)c4cc(Cl)ccc4n2,924282
CN(C)CCCN1c2ccccc2CCc3ccccc13,605
Cc1ccc(cc1)S(=O)(=O)\N=C(/c2ccc(F)cc2)\n3c(C)nc4ccccc34,1698776
NC[C@@H]1O[C@@H](Cc2c(O)c(O)ccc12)C34CC5CC(CC(C5)C3)C4,59721
Cc1ccc(cc1)S(=O)(=O)N(Cc2ccccc2)c3ccccc3C(=O)NCc4occc4,759749
O=C(N1CCC2(CC1)CN(C2)c3ccc(cc3)c4ccccc4)c5ccncc5,819161
CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc4cccnc24)CC1,110803
CN1[C@@H]2CC[C@H]1CC(C2)OC(=O)c3cc(C)cc(C)c3,900755
O=C(CCc1ccccc1)NCc2cccnc2,1121095
O=C(CCN1CCOCC1)Nc2ccccc2,993857
CC[C@]1(C)CC(=O)NC1=O,913802
Cc1cc(nc(NCc2ccccc2)n1)N3CCCCC3,588433
COCCN1C(=O)C(=Nc2cnc(OCc3ccccc3)nc12)c4cccc(c4)C#N,741653
COc1cccc(c1)[C@@H]2Oc3ccc(OC)cc3\C(=N\O[C@@H](C)c4onc(c4)c5c(C)cc(C)cc5C)\[C@@H]2O,898959
CC[C@H]1NC(=O)c2cc(c(Cl)cc2N1)S(=O)(=O)N,880887
C1CN2CCN(C1)C2c3ccncc3,952799
O=C(Nc1ccccc1)N2CCC3(CC2)CCN(CC3)C(=O)Oc4ccccc4,790186
CCOC(=O)Nc1sc(C(=O)N(C)C)c(C)c1C(=O)OCC,1011294
Br.Cc1ccc(C)c(c1)C(=O)CN2C3=NCCCN3c4ccccc24,828812
CN1CCCC[C@@H]1CCN2c3ccccc3Sc4ccc(cc24)[S+](C)[O-].OS(=O)(=O)c5ccccc5,997322
COc1ccc(CCNC(=O)c2ccc3C(=O)N(Cc4occc4)C(=S)Nc3c2)cc1OC,970939
Br.Clc1ccc(cc1)C(=O)NN2Cc3ccccc3C2=N,808313
CCOC(=O)CCN1C(=O)[C@@H]2CC[C@H]3[C@@H]([C@H](O)[C@H](O)CC3=O)[C@@H]2C1=O,872596
OC(c1ccc(cc1)c2ccccc2)(c3ccc(cc3)c4ccccc4)C5(O)CCCCC5,1120287
N[C-]1N=C(N)C(=C(N)[N+]1=O)NCO,1120856
Clc1cccc(NC(=S)NC(=O)CCN2C(=O)c3ccccc3C2=O)c1,749977
CN1CCN(CC1)c2ccnc(n2)c3cocc3,787282
COc1ccc(cc1)C(=O)N2CCC3(CC2)CCN(CC3)c4ncccn4,1015848
Cn1c(COC(=O)N)ncc1[N+](=O)[O-],57091
CCc1ccc2c(c1)c(N=NC3=NC(=O)CS3)c(O)n2CC,886312
CN(C)c1ncc2N=C(C)C(=O)N(c3ccccc3)c2n1,861058
Clc1ccc(cc1)C2=Nc3cnc(nc3N(C2=O)c4ccccc4)N5CCNCC5,939742
COc1ccccc1c2ccc3ncnc(NCc4cccnc4)c3c2,860053
CN1CCN(CC1)c2ccc(cc2C(=O)c3ccc(Br)cc3)[N+](=O)[O-],873553
Sc1nnc(C2=CC=CN(Cc3ccccc3)C2=O)n1CC=C,890054
CCCCCCOC(=O)C(C#N)c1nc2ccccc2nc1N3CCN(CC)CC3,883369
CCSc1nc2ccccc2n1C(=O)\C=C/c3ccc(OC)c(OC)c3,887597
CCOC(=O)CC1=C(C(=O)OCC)C2(C(=O)N1CC(=O)OC)C(=C(N)Oc3ccccc23)C#N,811680
N#Cc1ccccc1c2ccc3ncnc(NCCN4CCOCC4)c3c2,820210
C[As+](C)(c1ccc(Br)c(c1)[N+](=O)[O-])c2ccc(Br)c(c2)[N+](=O)[O-].O[N+](=O)[O-],755594
Nc1ccc(Nc2ccccc2)cc1,581704
COCCN1C(=O)C(=Nc2cnc(nc12)N(C)C)c3cc(F)cc(F)c3,738271
CC(NC(=O)C(=O)NN=C1CCCCCC1)c2ccccc2,971370
NCCc1c[nH]c2ccc(cc12)C(=O)N,21325
Fc1cccc(c1)C(=O)N2CCC[C@@]3(CCN(C3)C(c4ccccc4)c5ccccc5)C2,1034839
CS(=O)(=O)N(CC(=O)Nc1cccc(F)c1)c2cccc(c2)[N+](=O)[O-],887461
N[C@@H]1[C@H]2[C@@H](CC(=O)O)OCC=C3CN4CC[C@@]1([C@H]4C[C@@H]23)C(=O)C(=O)O,1120706
CCN1C(=O)N(C)c2nc3SCCn3c2C1=O,1034826
CCCCn1c(SCC(=O)N2CCCC2)nc3N(C)C(=O)N(C)C(=O)c13,1114189
CCOC(=O)N1CCC(CC1)NC(=O)CCc2onc(n2)C3=CCN(C)CC3,921661
Cn1c(CN2CCN(CCO)CC2)ncc1[N+](=O)[O-],873757
Oc1nc(SCC(=O)NCc2occc2)nc3nc(cc(c13)C(F)(F)F)c4cccs4,872357
CCCN(CCC)CCCNS(=O)(=O)c1cc(Br)cc2CCN(C(=O)C)c12,1120727
Clc1ccc(cc1)S(=O)(=O)n2nnc3ccccc23,1120482
COCCN(C(=O)c1occc1)c2nnc(s2)c3ccc(OC)cc3,1037281
COc1ccc(CNc2ncnc3ccc(cc23)c4ccccc4OC)c(OC)c1,461379
CCOC(=O)COc1c(OC)cc(Cl)cc1C2Nc3ccccc3C(=O)N2c4cccc(C)c4,784651
CS(=O)(=O)N1CCC[C@@]2(CCN(Cc3ccc(cc3)C#N)C2)C1,948996
Fc1cccc(c1)C(=O)N2CCC3(CCCN(Cc4ccncc4)C3)CC2,978607
CC(C)C(NS(=O)(=O)c1cccs1)C(=O)Nc2nc(cs2)C(C)(C)C,729460
CCN(CC)C(=O)C1CCN(CC1)S(=O)(=O)c2ccc3oc4ccccc4c3c2,799249
COc1cc(NC(=O)c2ccccc2)c(OC)cc1NC(=O)CN3CCN(CC3)c4ccccn4,915021
SC1=NC2=C(C(N1)c3ccc(Br)cc3)N4CCC2CC4,727394
C1CN(CCN1)c2ncnc3ccc(cc23)c4cocc4,781375
FC(F)(F)c1ccccc1c2cncnc2NCc3cccnc3,1018289
Fc1ccc(cc1)C2=Nc3cnc(nc3N(C2=O)c4ccccc4)N5CCNCC5,975935
Cn1cccc1C(=O)N2CCC3(CCCN(C3)C(c4ccccc4)c5ccccc5)CC2,1030680
COc1cccc(CN2C(=O)C(=Nc3cnc(nc23)N4CCNCC4)c5ccc(Cl)cc5)c1,980315
Cc1cc(C)cc(c1)C(=O)N(NC(=O)Nc2ccc(Cl)cc2)C(C)(C)C,847470
Cc1onc(C)c1c2nccc(NCc3cccnc3)n2,788066
CCCSc1nc(NCc2occc2)c3c4CC(C)(C)OCc4sc3n1,925032
N#CCO\N=C(/c1ccccc1)\c2ccncc2,1700745
CCOc1ccc(cc1)C(=O)N2CCCC2C(=O)O,764839
NC(=O)c1ncn(n1)[C@H]2O[C@@H](CO)[C@@H](O)[C@@H]2O,3049
COc1ccccc1C2N(CCO)C(=O)C(=C2C(=O)c3ccccc3)O,1026654
CN(C)c1ncnc2ccc(cc12)c3cccnc3,899371
CNc1cc(CSC)nc(SCc2ccc(Cl)c(Cl)c2)n1,737205
O[C@@H]1[C@@H]2O[C@@H]2C(=O)C3=CC[C@@H]4[C@@H]([C@H]13)C(=O)N(C4=O)c5cccc(Oc6ccccc6)c5,868255
COC(=O)CNC(=O)\C=C\c1ccc(OC)cc1,813722
Cc1ccc(cc1)S(=O)(=O)Nc2ccccc2c3ccccc3NS(=O)(=O)c4ccc(C)cc4,882544
OC(=O)CCCC[C@H]1CCSS1,696421
C1CN2C[C@H](N=C2S1)c3ccccc3,793780
CCCCNc1c(C(=O)OCC)c(C)nc2c1cnn2CC,138088
COc1ccc(CN[C@H](C)C(=O)O)cc1,1120725
CN1CCN(CC1)c2ncc3N=C(C(=O)N(CCC#N)c3n2)c4cn(C)c5ccccc45,749219
CO\N=C/c1ccc(cc1)C(=O)N2[C@@H](CC[C@H](C)[C@H]2c3ccc(C)cc3)C(=O)OC,1035790
COc1ccc(cc1)C(=O)N2CCC3(CCCN(C3)c4ccccn4)CC2,899672
CN1C(=O)C(=Nc2cnc(Oc3cccc(Cl)c3)nc12)c4cc(F)cc(F)c4,877539
CN(C)CCCN1c2ccccc2Sc3ccccc13,16391
Nc1nc(SCc2ccccc2)c3ncn(Cc4ccccc4)c3n1,709408
OC(=O)c1cc(O)nc(NC2=CC(=O)C(=O)c3ccccc23)n1,831915
Nc1nc(O)c2ncn(COC(CO)CO)c2n1,365284
CCOc1ccccc1OC2=C(C)Oc3cc(OC(=O)c4occc4)ccc3C2=O,760231
CC(C)CC(=O)NC1(C(=O)N(Cc2ccccc2)C3=C1C(=O)CC(C)(C)C3)C(F)(F)F,998770
CCCCc1ccc(cc1)c2csc(n2)\C(=C\c3oc(C)cc3)\C#N,778115
COc1ccc(CCN(C)CCCOc2ccc(cc2)S(=O)(=O)c3[nH]c4ccccc4c3C(C)C)cc1OC,45763
O=C(N1CCC2(CCN(Cc3ccc(cc3)C#N)CC2)CC1)c4occc4,880533
CCOC(=O)NNC1CC(=O)N(C1=O)c2ccc(OC)cc2,786025
CN1CCC2(CC1)COc3cc4CCN(C(=O)c5ccc(cc5)c6ccc(cc6C)c7noc(C)n7)c4cc23,26118
OC(=O)c1c(I)cc(I)c(NC(=O)CCCCC(=O)Nc2c(I)cc(I)c(C(=O)O)c2I)c1I,646449
COc1cccc(CN2C(=O)C(=Nc3cnc(Oc4cccc(Cl)c4)nc23)C)c1,1017153
CC(=O)[O-].Cc1c2cc[n+](CCN3CCCCC3)cc2c(C)c4c5cc(O)ccc5[nH]c14,1101013
C[C@@H](CCc1ccc(O)cc1)NCCc2ccc(O)c(O)c2,791362
CC(=O)N1CCC2(CCCN(C2)C(c3ccccc3)c4ccccc4)CC1,860701
CCCOc1ccc2OC(=O)C3=C(CCCN3C(=O)CN4CCCC(C4)C(=O)OCC)c2c1,970021
COc1ccc(cc1)C(OCCN2CCC[C@H](C2)C(=O)O)(c3ccc(OC)cc3)c4ccc(OC)cc4,121996
COc1ccc(Oc2ncc3N=C(C(=O)N(C[C@H]4CCCO4)c3n2)c5ccc(F)cc5)cc1,787397
CN(C)CCCN1c2ccccc2CCc3ccc(Cl)cc13,996
COCCN1C(=O)C(=Nc2cnc(OC)nc12)c3ccc(F)cc3,867277
CCc1cccc(CC)c1NC(=O)CN(CC(=O)O)CC(=O)O,747337
O=C(Oc1ccccc1)N2CCC3(CCCN(C3)c4ccc(cc4)c5ccccc5)CC2,820346
Cn1c(CC(=O)Nc2ccc(Cl)c(Cl)c2)nnc1SCC(=O)N3CCN(CC3)c4ccccc4,775573
CCCCCCN1C=CC(=C\C=C(/C#N)\C(=O)OCC)C=C1,784864
C\C\1=C\CC[C@@]2(C)O[C@@H]2[C@@H]3OC(=O)C(=C)[C@H]3CC1,780274
C=CCn1c(NCc2ccccc2)nc3ccccc13,871197
CCOC(=O)c1c(C)[nH]c(C(=O)CSc2nnc(c3cccs3)n2Cc4ccccc4)c1C,921689
CCN1C=C(C(=O)O)C(=O)c2cc(F)c(N3CCN[C@@H](C)C3)c(F)c12,830755
N(\N=C(\c1ccccc1)/c2ccccn2)c3nc4ccccc4s3,428871
COc1ccc(cc1)c2cc(nc(n2)n3nc(C)cc3C)C(F)F,732245
CN1CCN(CC1)c2nc(nc3ccccc23)c4cccc(NS(=O)(=O)C)c4,939869
COCC(=O)N1CCC[C@@]2(CCN(Cc3ccccc3)C2)C1,904571
CCc1ccc(NC(=O)C[S+]([O-])CC(=O)NCCCc2ccccc2)cc1,731792
COc1ccc(Oc2ncc3N=C(C)C(=O)N(c4ccccc4)c3n2)cc1,738855
O=C1NCN(c2ccccc2)C13CCN(C[C@H]4COc5ccccc5O4)CC3,781896
COCCN1C(=O)C(=Nc2cnc(Oc3cccc(Cl)c3)nc12)c4ccc(Cl)cc4,948095
,955313
O=C(CCN1C(=O)c2ccccc2C1=O)Oc3ccc4ccccc4c3,968619
CN(CC#C)Cc1ccccc1,28477
CCOC(=O)c1ccc(NC(=O)C(=O)NCC2CCCO2)cc1,989295
CC(C)NC(=O)N1CCC2(CC1)CCN(CC2)C(=O)Oc3ccccc3,1026392
CCN1CCN(CC1)C2=CC(=O)N(C(=O)N2)c3cc(Cl)ccc3C,742698
CN1CCN(CC1)c2nc3N(C)C(=O)N(C)C(=O)c3n2C,1120825
O[C@@H]1[C@H]2O[C@@H]2C3(OCCCO3)C4=CC[C@H]5[C@@H]([C@H]14)C(=O)N(Cc6ccccc6)C5=O,752491
ClC1=C(Cl)c2ccccc2C(=O)O1,32349
CC1(C)N(O)C(=[N+]([O-])C1(C)C)c2ccc(cc2)C(=O)O,461821
CN(C)C(=O)Oc1cc(OC(=O)N(C)C)cc(c1)[C@@H](O)CNC(C)(C)C,761725
CC(C)CN1CCC2(CC1)CCN(CC2)C(=O)c3cccn3C,819984
OC[C@H]1NC[C@H](O)[C@@H](O)[C@H]1O,178290
FC(F)(F)c1cc(cc(c1)C(F)(F)F)C(=O)N2CCC3(CC2)CN(C3)c4ccncc4,819314
CC(C)CN1CCC2(CC1)CCN(CC2)S(=O)(=O)c3ccccc3,938281
O=C1N(Cc2ccccc2)C=CC=C1c3nc4ccccc4s3,1008407
CC[C@@]1(CCCCN(C)C1)c2cccc(O)c2,740507
O=C(CN1C(=O)c2ccccc2S1(=O)=O)Nc3ccccc3,808686
COc1cccc(Cn2nnc3c(O)nc(nc23)C4CCCN(C4)C(=O)c5ccccc5Cl)c1,813068
CCOC(=O)CCN1C(=O)[C@H]2CC[C@H]3[C@H]([C@H](O)[C@H](O)C/C/3=N/OCC(C)C)[C@@H]2C1=O,975045
OC(=O)\C=C/c1c[nH]cn1,740610
CC[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@H](OC(=O)C)[C@@H](N)C[C@@]4(C)[C@H]3CC[C@@]12C.CC(=O)O,842426
CN(C)CCSS(=O)(=O)O,1121087
CCSC1=Nc2sc3c(CCc4ccccc34)c2C(=O)N1CC=C,914027
CN1C(=O)C(=Nc2cnc(OCc3ccccc3)nc12)C,896571
Cc1cc(C)c(C#N)c(SC[S+]([O-])c2ccc(cc2)C(C)(C)C)n1,793515
NCCc1c[nH]cn1,8910
O=C(N1CCC2(CCCN(Cc3ccccc3)C2)CC1)c4occc4,820109
CC(C)NC(=O)CSc1nnc(C2CC2)n1c3ccccc3,788710
COC(=O)C\C=C/[C@@H](C)[C@H](NS(=O)(=O)c1ccc(C)cc1)\C=N/OC[C@@H](C)[C@H](OCc2ccccc2)C(C)C,820990
Oc1nc(CSc2nnc(c3ccccc3)n2C4CCCCC4)nc5ccccc15,755137
CN1C(=O)N(C)c2[nH]c(N=NN3CCN(CCO)CC3)nc2C1=O,1121121
COc1ccc(C[C@@H](N)c2ccc(OC)cc2)cc1,1036230
COC(=O)CCC(=O)C1=C(CC(C)(C)CC1=O)NCC=C,1092609
CC(C)COc1ccc(cc1)C(=O)Nc2sc(C)c(c3ccc(Cl)cc3Cl)c2C(=O)N,951756
CN(C)c1ncc2N=C(C(=O)N(C3CC3)c2n1)c4ccc(Cl)cc4,827977
CCNc1ncc2N=C(C(=O)N(CCc3ccccc3)c2n1)c4cccs4,819315
COc1cc(O)oc1\C=N\c2ccc(cc2)C(F)(F)F,1679545
Fc1ccccc1n2ccc(n2)C3=NN(C=CC3=O)c4cccc(c4)C(F)(F)F,983534
COc1ccc2CCc3sc(NC(=O)c4cccs4)nc3c2c1,986217
CCC(=O)O[C@H](CC(=O)[O-])C[N+](C)(C)C,1826025
CC(C)(CNC(=O)c1ccc(c(Cl)c1)[N+](=O)[O-])CNC(=O)c2ccc(c(Cl)c2)[N+](=O)[O-],965402
COc1ccc(NC(=O)COC(=O)CCCc2c[nH]c3ccccc23)cc1OC,748775
CCN(CC)c1ccc(NC(=O)CN2CCN(CC2)c3ccccc3F)cc1,951247
CCCc1cc2C3C(CN(C(=O)c4ccccc4)C3(C)C(=O)OC)C(C)c2n1Cc5cccc(Cl)c5,877128
Fc1ccc(cc1F)C2=Nc3cncnc3N(C4CC4)C2=O,738270
COc1ccc2cc(CCC(=O)C)ccc2c1,139210
OC(=O)C(=Cc1ccnc2ccccc12)C(=O)O,1121219
