ID	STANDARD_VALUE
924282	*
605	*
1698776	*
59721	19952.62
759749	2511.89
819161	2511.89
110803	*
900755	*
1121095	5011.87
993857	*
913802	*
588433	*
741653	10000.0
898959	1584.89
880887	*
952799	*
790186	*
1011294	*
828812	12589.25
997322	*
970939	630.96
808313	*
872596	*
1120287	*
1120856	*
749977	15848.93
787282	*
1015848	*
57091	*
886312	*
861058	*
939742	12589.25
860053	630.96
873553	10000.0
890054	12589.25
883369	28183.83
887597	19952.62
811680	8912.51
820210	10000.0
755594	*
581704	19952.62
738271	*
971370	25118.86
21325	*
1034839	3981.07
887461	17782.79
1120706	*
1034826	*
1114189	17782.79
921661	25118.86
873757	*
872357	14125.38
1120727	*
1120482	*
1037281	*
461379	1995.26
784651	3981.07
948996	25118.86
978607	3981.07
729460	10000.0
799249	3981.07
915021	12589.25
727394	1584.89
781375	25118.86
1018289	630.96
975935	25118.86
1030680	6309.57
980315	15848.93
847470	15848.93
788066	3981.07
925032	15848.93
1700745	39810.72
764839	*
3049	*
1026654	*
899371	1000.0
737205	5011.87
868255	*
813722	*
882544	*
696421	*
793780	*
138088	15848.93
1120725	*
749219	25118.86
1035790	3162.28
899672	12589.25
877539	*
16391	*
709408	3981.07
831915	*
365284	25118.86
760231	19952.62
998770	12589.25
778115	12589.25
45763	2511.89
880533	*
786025	*
26118	*
646449	*
1017153	5011.87
1101013	*
791362	39810.72
860701	12589.25
970021	8912.51
121996	31622.78
787397	1000.0
996	31622.78
867277	15848.93
747337	*
820346	31622.78
775573	1584.89
784864	15848.93
780274	19952.62
871197	25118.86
921689	112.2
830755	*
428871	3981.07
732245	10000.0
939869	25118.86
904571	25118.86
731792	2818.38
738855	5011.87
781896	2511.89
948095	12589.25
955313	*
968619	*
28477	*
989295	*
1026392	*
742698	*
1120825	*
752491	*
32349	*
461821	*
761725	*
819984	*
178290	*
819314	*
938281	*
1008407	17782.79
740507	*
808686	*
813068	1995.26
975045	*
740610	251.19
842426	2511.89
1121087	*
914027	*
896571	*
793515	7943.28
8910	*
820109	12589.25
788710	25118.86
820990	3981.07
755137	794.33
1121121	*
1036230	*
1092609	*
951756	*
827977	*
819315	15848.93
1679545	8912.51
983534	10000.0
986217	7943.28
1826025	*
965402	8912.51
748775	15848.93
951247	15848.93
877128	5011.87
738270	12589.25
139210	12589.25
1121219	*
14882	39.81
748995	*
1683986	15848.93
913330	19952.62
981483	6309.57
925391	12589.25
1121262	12589.25
914704	14125.38
833661	15848.93
739226	31622.78
740412	3162.28
978701	3162.28
802642	3162.28
898381	*
776650	6309.57
1120809	*
730601	3981.07
907916	1584.89
949053	12589.25
3889	*
913095	1995.26
741184	15848.93
762316	3162.28
874037	25118.86
990568	6309.57
793145	*
1634574	14125.38
874350	*
24971	*
1036859	*
461443	2511.89
838808	*
1120253	*
1101922	8912.51
1115843	3162.28
1024226	3981.07
911024	*
284386	199.53
674993	*
1121059	*
881438	*
4671	*
1016099	10000.0
818065	10000.0
1120313	*
802785	25118.86
114981	*
893481	1995.26
1015731	15848.93
1026517	1995.26
901714	*
741270	*
890559	17782.79
446789	*
925697	14125.38
870030	*
933254	6309.57
1120824	*
827736	*
1548084	25118.86
858048	*
431204	*
124942	12589.25
781177	1258.93
755021	12589.25
760309	*
1031291	*
1017254	*
962782	*
895128	*
77474	*
1008712	11220.18
1017659	*
984371	1584.89
917111	*
1299000	3548.13
341224	10000.0
965966	*
697070	*
1028767	*
1025392	*
723157	*
1017545	*
857667	*
756004	*
957822	*
908276	*
1699624	*
829744	*
1121174	*
1120936	8912.51
1121107	*
464962	*
757096	*
1121105	17782.79
1121264	*
914259	*
840360	2511.89
825875	*
454176	*
904517	*
913435	*
819433	*
780969	3162.28
1030253	10000.0
752910	3162.28
974893	7943.28
974770	*
751239	31622.78
837288	14125.38
901659	*
784211	39810.72
903610	*
866957	*
10909	*
723904	*
858732	3162.28
794196	*
745338	22387.21
1121017	14125.38
897994	15848.93
4381	25118.86
815053	14125.38
994738	*
1120510	*
1121243	*
1696862	5011.87
1355929	*
778799	*
833225	*
901441	15848.93
992403	*
9413	*
747720	50118.72
919724	*
955755	*
1033780	3162.28
963217	794.33
869893	12589.25
883419	25118.86
744156	5011.87
985598	3162.28
732768	12589.25
1105308	15848.93
785311	11220.18
901609	8912.51
1120813	7943.28
985791	*
795011	*
84633	*
872929	*
1120240	*
1003840	*
723953	*
822472	*
865975	14125.38
780146	10000.0
1106010	3981.07
892156	3981.07
942079	*
851939	*
856106	*
923517	*
819458	*
1120257	*
390027	*
800174	12589.25
988618	12589.25
755093	*
862329	*
1021579	25118.86
863992	6309.57
741390	*
866870	5011.87
953336	*
668260	*
1634508	*
1120370	*
730873	3162.28
754464	3162.28
929512	4466.84
957564	15848.93
999610	*
754948	15848.93
1121084	*
843576	2818.38
959423	14125.38
1021161	39810.72
809533	10000.0
1121175	*
935574	25118.86
421294	*
861042	*
489658	15848.93
783504	8912.51
781442	25118.86
1113477	*
802062	*
860156	15848.93
864950	3162.28
429205	*
814439	8912.51
641439	*
942831	15848.93
749855	25118.86
779399	3981.07
750112	*
839431	15848.93
1031534	14125.38
977063	5011.87
664111	3981.07
1078794	22387.21
792962	*
920412	14125.38
200012	*
965931	*
911744	*
770512	8912.51
781083	19952.62
209074	7943.28
463912	*
6163	*
608732	3162.28
999804	3981.07
919897	*
920386	*
119300	*
738717	3981.07
805382	8912.51
860139	*
741009	*
620061	*
797044	*
781064	6309.57
885072	11220.18
795503	*
832740	5011.87
756475	1584.89
1681792	*
807421	*
317909	*
962750	22387.21
861407	*
962128	2818.38
964547	*
822340	*
900554	12589.25
1120215	7943.28
874983	*
787837	*
835765	19952.62
915758	562.34
853617	3162.28
998492	15848.93
10099	*
1699658	*
807416	14125.38
991176	12589.25
1023439	*
821290	*
932416	*
261343	*
1083219	*
732334	*
608659	*
705566	*
752686	*
874803	*
829287	*
1120271	*
16584	*
816819	*
1325089	3981.07
979048	3981.07
902737	*
736053	*
1120900	*
996872	1995.26
818990	*
675183	*
954529	501.19
1121222	7079.46
974347	12589.25
1120766	*
866905	25118.86
815858	7943.28
887363	*
858673	39810.72
875060	*
419601	10000.0
936106	19952.62
960488	3981.07
1022878	19952.62
827821	4466.84
842567	*
57902	*
860940	19952.62
917983	*
1634466	*
755526	*
767213	4466.84
1103972	*
1120564	*
918662	*
837622	15848.93
737459	*
756603	3981.07
920628	10000.0
723751	8912.51
1018685	*
792657	1584.89
1105248	22387.21
838769	12589.25
898363	39810.72
946106	19952.62
906127	*
988791	*
914326	19952.62
940299	*
754915	3162.28
4672	*
758571	*
935842	*
1121032	*
796083	3981.07
879931	2818.38
824957	12589.25
742534	3981.07
779473	*
1115364	*
870198	14125.38
939699	*
332794	*
8788	3981.07
675291	*
893874	*
931166	*
738429	10000.0
906	*
806632	*
1020582	*
752636	*
963678	1122.02
736840	*
1120341	*
1027278	*
999475	15848.93
895920	8912.51
1702519	*
882075	*
897132	*
773033	*
837016	*
879686	1995.26
865848	*
1112203	*
846684	*
823520	*
1120885	*
1091157	22387.21
844573	7943.28
740326	*
990667	*
801024	*
989635	*
833845	*
797407	*
173	*
956397	*
1120916	*
903180	*
727819	*
692313	*
1687416	28183.83
1041669	19952.62
828138	3548.13
732093	*
844991	*
878323	*
886692	*
1120443	*
725841	*
944721	10000.0
383769	12589.25
905011	10000.0
1634310	15848.93
760400	*
175857	*
950712	*
685248	*
1028019	*
820676	3162.28
780846	3162.28
828641	*
1121170	*
736717	*
931059	*
969116	*
748289	*
792845	*
857966	158.49
738790	12589.25
848255	*
902656	19952.62
829479	6309.57
642262	39810.72
860566	10000.0
896274	*
833320	*
741753	*
933699	*
819974	*
1037413	*
821507	*
648380	*
726277	*
907434	14125.38
780381	10000.0
1620	15848.93
428573	2511.89
1002245	*
903312	*
879810	*
938243	15848.93
798088	7943.28
896572	3981.07
31215	*
778247	*
734299	*
1120319	22387.21
808492	14125.38
740286	3162.28
4514	*
314209	*
72170	794.33
1022601	2511.89
963795	*
756829	*
938705	*
1121269	*
1121092	*
855681	*
906673	*
858043	*
108932	*
875439	*
1013874	*
976456	*
891815	*
1120328	*
733247	*
218087	12589.25
989420	15848.93
1019947	*
990101	15848.93
781437	15848.93
1035786	1122.02
938191	*
849879	*
982258	*
798596	*
535386	*
776386	*
949195	*
863339	3981.07
979040	12589.25
822567	15848.93
854170	*
874053	*
978343	3981.07
137009	3162.28
1120349	199.53
920199	398.11
971233	22387.21
914670	1584.89
817345	25118.86
897304	2511.89
782099	7943.28
1017012	2511.89
1121066	7943.28
837846	794.33
460911	398.11
799889	5011.87
989896	1584.89
749438	1412.54
850241	3548.13
992161	7079.46
248357	*
741502	*
844415	*
749633	*
837955	*
859258	*
1120741	12589.25
849195	2818.38
122795	31622.78
1098384	10000.0
904731	*
811826	*
850384	*
803875	22387.21
1120213	10000.0
741625	15848.93
967305	*
818648	*
905142	*
1121078	*
945273	*
163665	*
865237	2818.38
795595	*
766614	*
932246	*
1120278	*
819545	*
991967	*
1120868	*
842111	*
941534	*
983538	2511.89
764091	4466.84
816816	*
975079	*
725754	*
1120315	22387.21
927318	25118.86
753058	*
911391	*
789663	*
1120290	*
1120291	*
1120906	*
950152	*
1111809	*
780385	*
1852440	*
1120851	*
842407	*
1017429	19952.62
1034271	12589.25
1112167	*
983446	*
908635	*
1017591	7943.28
740540	3981.07
824193	5011.87
840490	*
991588	*
910467	28183.83
832370	3162.28
762745	28183.83
921523	3162.28
844029	5011.87
991910	12589.25
760353	10000.0
21698	*
1698128	17782.79
871535	15848.93
745857	25118.86
165774	2511.89
968039	10000.0
1016688	7943.28
900388	5011.87
871843	7943.28
1027293	19952.62
875649	*
956652	12589.25
727825	*
736119	*
816054	15848.93
735988	25118.86
935571	3548.13
929295	*
1120225	*
778618	12589.25
13494	125.89
887460	14125.38
793708	3981.07
62117	*
928804	1584.89
918716	12589.25
810305	*
981668	14125.38
881394	5011.87
125406	10000.0
771376	1412.54
854086	*
1120831	*
919738	5011.87
976731	*
926309	*
785540	1584.89
1023165	*
920548	*
809193	3548.13
299060	*
413513	*
731788	*
841483	*
875376	*
764075	2818.38
157152	5011.87
742592	10000.0
906003	*
1032962	3162.28
550303	*
831460	3981.07
802016	25118.86
1004816	2818.38
903160	1584.89
832498	*
881614	3981.07
828093	3981.07
969336	10000.0
870806	10000.0
1033508	12589.25
914741	22387.21
117120	12589.25
816895	*
975313	*
865046	5623.41
960072	*
1121228	*
981693	*
937374	*
1018497	2511.89
928955	25118.86
786043	14125.38
38940	*
918655	*
858419	7943.28
947454	25118.86
1015220	15848.93
762801	7079.46
87552	10000.0
885616	22387.21
1105714	*
992605	*
1034196	*
755327	*
832311	1584.89
956372	*
795843	*
21432	*
229629	*
991047	*
777699	*
746824	*
1016748	*
747778	*
647450	*
856923	1122.02
817997	7943.28
1015855	398.11
1034112	25118.86
761639	3981.07
896839	3981.07
912943	5011.87
1015476	3981.07
788506	*
1031308	*
953613	*
768425	*
960138	14125.38
795610	12589.25
84493	*
967771	*
782578	*
888342	*
571201	12589.25
820445	1584.89
767269	2818.38
774591	3162.28
209597	*
791369	39810.72
1020921	3162.28
872683	14125.38
861022	2511.89
964718	1258.93
978461	316.23
746826	14125.38
963299	*
921294	*
761677	*
314208	*
1121229	*
744025	5011.87
834291	3981.07
873871	10000.0
743127	11220.18
824076	19952.62
891514	*
731465	*
936925	*
1303061	28183.83
782642	6309.57
914624	10000.0
1120613	*
975502	*
931560	*
1111563	*
811471	*
1688104	*
818510	*
789867	3162.28
771347	3548.13
875191	1000.0
849572	11220.18
751439	4466.84
941951	15848.93
738170	12589.25
832792	2818.38
785691	*
1029572	*
1002302	35481.34
815274	17782.79
887707	*
780215	*
954609	*
999288	*
1012933	*
864599	19952.62
783262	3981.07
1017807	6309.57
1120541	*
342897	*
1120649	*
924851	1995.26
820460	15848.93
794330	*
804678	*
997353	*
914921	*
899968	3981.07
786133	8912.51
916425	4466.84
756940	*
915685	*
935933	*
935396	891.25
900083	*
859331	12589.25
1004764	14125.38
743170	12589.25
936005	*
866350	*
1082459	*
1027511	19952.62
693680	31.62
875783	11220.18
820800	1584.89
169962	2511.89
751642	*
949916	15848.93
799607	3162.28
748286	7079.46
783658	*
1120807	*
753435	*
1008072	199.53
5975	15848.93
1685511	*
1120555	*
1289150	*
890512	10000.0
951659	14125.38
908331	15848.93
755235	15848.93
983161	*
751043	*
771863	*
856350	*
756340	*
755327	*
761818	3162.28
1120423	*
951844	*
955205	*
960180	*
833985	*
1680700	*
1120314	*
819538	*
1014392	*
976111	*
842111	*
903843	*
1116435	*
674307	*
1085115	*
1021281	*
975468	5011.87
976237	31622.78
742506	2511.89
1120330	*
1699863	*
1120928	6309.57
1029032	7943.28
1120690	*
739141	*
980626	*
1121246	*
774223	*
97840	*
1096442	12589.25
1121117	1995.26
1679851	*
830749	*
968886	*
1079777	*
1023206	*
740693	39810.72
809249	28183.83
783801	199.53
958803	2238.72
856705	7943.28
776629	10000.0
989462	15848.93
1120530	*
1698100	*
72191	39810.72
850363	1000.0
773523	*
18409	7943.28
915077	7079.46
912037	31622.78
898093	3981.07
692430	*
836865	*
834015	*
1120608	*
993525	*
1120599	*
873483	*
862536	*
877238	1000.0
891527	1000.0
797825	*
1120720	*
1703487	*
962265	*
790607	*
916921	31622.78
813175	*
421379	5011.87
1025327	*
849828	*
1700583	*
1115865	1000.0
1120340	*
859707	*
740633	3162.28
982107	*
773042	12589.25
746901	*
773049	*
781442	*
461381	1995.26
1036486	14125.38
820820	1995.26
882836	*
1121027	*
897728	*
1120500	*
1699	19952.62
780512	25118.86
961748	*
898587	*
1120621	*
782690	*
994542	141.25
841520	1258.93
939673	*
995859	1584.89
947059	2511.89
756960	15848.93
865288	*
756355	2511.89
986541	3162.28
930286	*
1697253	*
819712	*
937058	*
753532	*
965063	5623.41
865292	*
1009975	*
996051	*
989162	*
1120358	*
975865	7943.28
779567	*
955885	*
1033044	*
972842	*
1687249	*
872417	*
979694	*
1289693	8912.51
822551	12589.25
8531	*
896365	*
2232	*
870208	15848.93
859106	*
976636	2511.89
892902	*
839103	*
937708	5011.87
821798	25118.86
1106888	7079.46
758161	*
936680	*
571201	*
738251	501.19
852051	3981.07
1024869	14125.38
822472	*
905457	*
1000609	1412.54
913720	*
1109988	*
782288	*
1340434	*
1120432	7943.28
230444	*
744126	5011.87
421390	6309.57
58329	15848.93
950710	*
1120295	*
801685	*
748289	*
1017743	25118.86
116265	25118.86
863028	2238.72
966410	6309.57
212591	*
926079	*
984796	14125.38
856857	6309.57
190074	*
982272	*
874001	*
773497	14125.38
797912	3981.07
887963	25118.86
906961	*
1027402	*
9060	*
112315	*
111367	*
905052	25118.86
413334	3162.28
821683	3162.28
421056	*
780670	*
12957	*
1699616	*
883029	7079.46
905232	2511.89
778924	*
798247	*
984633	*
43448	*
878096	12589.25
869712	*
988263	35481.34
1014838	12589.25
914065	707.95
1018213	1995.26
1111198	25118.86
986675	5011.87
949676	*
976156	*
994672	12589.25
885345	1412.54
992942	316.23
136386	3981.07
828839	177.83
926119	12589.25
36626	*
940880	3981.07
945213	*
836607	5623.41
1120803	*
991538	*
937218	*
899391	3981.07
989529	15848.93
820287	25118.86
751055	2238.72
778237	*
901429	*
990982	3981.07
866010	*
