ID	SMILES	STANDARD_VALUE_from_smiles	STANDARD_VALUE_to_smiles	STANDARD_VALUE_radius	STANDARD_VALUE_fingerprint	STANDARD_VALUE_rule_environment_id	STANDARD_VALUE_count	STANDARD_VALUE_avg	STANDARD_VALUE_std	STANDARD_VALUE_kurtosis	STANDARD_VALUE_skewness	STANDARD_VALUE_min	STANDARD_VALUE_q1	STANDARD_VALUE_median	STANDARD_VALUE_q3	STANDARD_VALUE_max	STANDARD_VALUE_paired_t	STANDARD_VALUE_p_value
1	CC(=O)NCCO	[*:1]c1ccccc1	[*:1]CCNC(C)=O	0	59SlQURkWt98BOD1VlKTGRkiqFDbG6JVkeTJ3ex3bOA	1049493	14	3632	5313.6	-0.71409	-0.033683	-6279.7	498.81	2190.5	7363.4	12530	-2.5576	0.023849
2	CC(C)CO	[*:1]c1ccccc1	[*:1]CC(C)C	0	59SlQURkWt98BOD1VlKTGRkiqFDbG6JVkeTJ3ex3bOA	1026671	20	7390.7	8556.1	-1.1253	-0.082107	-6503.9	-0	8666.3	13903	23534	-3.863	0.0010478
3	CC(C)O	[*:1]c1ccccc1	[*:1]C(C)C	0	59SlQURkWt98BOD1VlKTGRkiqFDbG6JVkeTJ3ex3bOA	842926	42	1797.7	8536.8	1.3311	0.84764	-25039	-2056.7	2589.2	9269.9	19034	-1.3647	0.17978
4	CCO	[*:1]c1ccccc1	[*:1]CC	0	59SlQURkWt98BOD1VlKTGRkiqFDbG6JVkeTJ3ex3bOA	1008194	15	6922.9	6832.1	-0.88497	-0.54912	-2056.7	1620.6	4103.7	12106	19034	-3.9244	0.0015266
5	CO	[*:1]c1ccccc1	[*:1]C	0	59SlQURkWt98BOD1VlKTGRkiqFDbG6JVkeTJ3ex3bOA	99926	137	2767.4	10645	0.85428	0.10559	-31598	-2756.9	2931.4	8773.6	29811	-3.0429	0.0028127
6	COCCO	[*:1]c1ccccc1	[*:1]CCOC	0	59SlQURkWt98BOD1VlKTGRkiqFDbG6JVkeTJ3ex3bOA	1049114	39	1967.7	7748.6	0.59331	0.017556	-19034	-1971.9	1849.6	6340.2	19858	-1.5859	0.12106
7	COO	[*:1]c1ccccc1	[*:1]OC	0	59SlQURkWt98BOD1VlKTGRkiqFDbG6JVkeTJ3ex3bOA	891555	27	6565.3	8832.4	0.51899	0.68765	-15774	1025.9	7905.7	12315	23962	-3.8624	0.00066861
8	COc1ccc(O)c(OC)c1	[*:1]c1ccccc1	[*:1]c1ccc(OC)cc1OC	0	59SlQURkWt98BOD1VlKTGRkiqFDbG6JVkeTJ3ex3bOA	900027	51	-4777.6	6839.6	1.7606	1.3487	-28460	-8432.5	-1597.2	-0	4646	4.9884	7.7366e-06
9	COc1ccc(O)cc1	[*:1]c1ccccc1	[*:1]c1ccc(OC)cc1	0	59SlQURkWt98BOD1VlKTGRkiqFDbG6JVkeTJ3ex3bOA	94775	125	-4707.8	8641	0.64121	0.074354	-30623	-9269.9	-3797.7	-0	21623	6.0912	1.3005e-08
10	COc1cccc(CO)c1	[*:1]c1ccccc1	[*:1]Cc1cccc(OC)c1	0	59SlQURkWt98BOD1VlKTGRkiqFDbG6JVkeTJ3ex3bOA	1325270	31	-5966.5	7967.6	-0.59417	-0.11463	-19034	-12647	-4103.7	-0	13337	4.1694	0.00023924
11	COc1cccc(O)c1	[*:1]c1ccccc1	[*:1]c1cccc(OC)c1	0	59SlQURkWt98BOD1VlKTGRkiqFDbG6JVkeTJ3ex3bOA	941337	34	-3592.6	6082	0.40312	0.87789	-19034	-7577.4	-2544.6	995.26	5431.4	3.4443	0.0015771
12	COc1ccccc1CO	[*:1]c1ccccc1	[*:1]Cc1ccccc1OC	0	59SlQURkWt98BOD1VlKTGRkiqFDbG6JVkeTJ3ex3bOA	1026613	48	1033	7059	0.26822	-0.13582	-15774	-1876.5	-0	4374.8	19034	-1.0138	0.31585
13	COc1ccccc1O	[*:1]c1ccccc1	[*:1]c1ccccc1OC	0	59SlQURkWt98BOD1VlKTGRkiqFDbG6JVkeTJ3ex3bOA	895867	75	-1101.5	6402.5	1.2906	-0.03631	-19034	-3198.9	-301.66	616.98	17176	-1.4899	0.1405
14	Cc1ccc(O)cc1	[*:1]c1ccccc1	[*:1]c1ccc(C)cc1	0	59SlQURkWt98BOD1VlKTGRkiqFDbG6JVkeTJ3ex3bOA	654	15	-5924.4	8423.6	-1.3106	0.27367	-19495	-14905	-4125.4	-0	5750.2	2.7239	0.016468
15	Cc1cccc(CO)c1	[*:1]c1ccccc1	[*:1]Cc1cccc(C)c1	0	59SlQURkWt98BOD1VlKTGRkiqFDbG6JVkeTJ3ex3bOA	1049120	20	-5041.3	5022	-1.1349	0.57502	-13854	-10002	-4347.6	-529.88	-58.49	4.4893	0.00025121
16	Cc1cccc(O)c1	[*:1]c1ccccc1	[*:1]c1cccc(C)c1	0	59SlQURkWt98BOD1VlKTGRkiqFDbG6JVkeTJ3ex3bOA	289	40	-5965	8079.6	2.9119	1.6267	-34187	-10058	-1757.3	-254.47	2056.7	4.6693	3.535e-05
17	Cc1cnc(CO)cn1	[*:1]c1ccccc1	[*:1]Cc1cnc(C)cn1	0	59SlQURkWt98BOD1VlKTGRkiqFDbG6JVkeTJ3ex3bOA	1049085	24	1319.4	4984.7	0.64925	-0.42057	-8608.2	-150.83	687.73	2625.2	13643	-1.2968	0.20757
18	Cc1cnc(O)cn1	[*:1]c1ccccc1	[*:1]c1cnc(C)cn1	0	59SlQURkWt98BOD1VlKTGRkiqFDbG6JVkeTJ3ex3bOA	899914	43	3739.6	6633.1	1.2716	0.39756	-12687	18.41	2056.7	8532.2	23962	3.6969	0.00062648
19	Cn1cc(O)c2ccccc21	[*:1]c1ccccc1	[*:1]c1cn(C)c2ccccc12	0	59SlQURkWt98BOD1VlKTGRkiqFDbG6JVkeTJ3ex3bOA	1318419	24	-2281.3	9727.7	0.6457	-0.78881	-28460	-4646	-2364.4	4976.3	12687	-1.1489	0.26241
20	N#CCCO	[*:1]c1ccccc1	[*:1]CCC#N	0	59SlQURkWt98BOD1VlKTGRkiqFDbG6JVkeTJ3ex3bOA	1325150	20	1083.5	9400	-0.70627	0.18298	-16790	-3681.7	-0	8827.4	17176	-0.5155	0.61215
21	N#CO	[*:1]c1ccccc1	[*:1]C#N	0	59SlQURkWt98BOD1VlKTGRkiqFDbG6JVkeTJ3ex3bOA	891561	25	4244.6	9951	0.14613	0.51024	-21138	-2040.2	5166.2	11701	23860	-2.1327	0.043376
22	N#Cc1ccc(CO)cc1	[*:1]c1ccccc1	[*:1]Cc1ccc(C#N)cc1	0	59SlQURkWt98BOD1VlKTGRkiqFDbG6JVkeTJ3ex3bOA	1026574	24	422.16	7621.7	0.21997	-0.094408	-15774	-2589.2	-0	3657	17441	-0.27135	0.78854
23	N#Cc1ccc(O)cc1	[*:1]c1ccccc1	[*:1]c1ccc(C#N)cc1	0	59SlQURkWt98BOD1VlKTGRkiqFDbG6JVkeTJ3ex3bOA	895885	23	-3936.5	10965	0.29922	-0.097716	-26611	-9258.3	-3259.7	2444.8	21623	1.7218	0.099147
